Item Name,Price (INR),Image URL
iPhone 15 Pro,82000,https://images.unsplash.com/photo-1592750475338-74b7b21085ab?w=400&h=400&fit=crop
Samsung Galaxy S24,66000,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
MacBook Air M3,92000,https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=400&h=400&fit=crop
Dell XPS 13,99000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Sony WH-1000XM5,28000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
OnePlus 12,59000,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
Xiaomi Redmi Note 13,22000,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
Google Pixel 8,72000,https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=400&h=400&fit=crop
HP Spectre x360,87000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Lenovo ThinkPad X1,88000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Asus ZenBook 14,76000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Bose QC 45,26000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
JBL Tune 760,8500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Sennheiser HD 450BT,12000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Boat Rockerz 510,2500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Apple Watch Series 9,42000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400&h=400&fit=crop
Samsung Galaxy Watch 6,32000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400&h=400&fit=crop
Fitbit Versa 4,18000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400&h=400&fit=crop
Garmin Forerunner 265,35000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400&h=400&fit=crop
Amazfit GTS 4,15000,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6?w=400&h=400&fit=crop
"Sony Bravia 55"" 4K",82000,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop
"Samsung QLED 50""",76000,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop
"LG OLED 48""",88000,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop
"TCL 4K 43""",35000,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop
"Panasonic LED 40""",30000,https://images.unsplash.com/photo-1593359677879-a4bb92f829d1?w=400&h=400&fit=crop
Nike Air Max,9000,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
Adidas Ultraboost 22,10500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
Puma RS-X,7000,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
Reebok Classic,6500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
Skechers GoWalk,8000,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400&h=400&fit=crop
Levi's 501 Jeans,3500,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400&h=400&fit=crop
H&M Cotton Shirt,1200,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
Zara Leather Jacket,7500,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400&h=400&fit=crop
Uniqlo T-Shirt,1000,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop
Adidas Hoodie,2800,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=400&h=400&fit=crop
Rice (5kg),450,
Wheat Flour (5kg),300,
Sugar (1kg),50,
Milk (1L),60,
Cooking Oil (1L),180,
Python Programming Book,600,https://images.unsplash.com/photo-1517842645767-c639042777db?w=400&h=400&fit=crop
Data Science Handbook,850,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=400&h=400&fit=crop
AI for Beginners,700,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=400&h=400&fit=crop
ML with Python,950,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=400&h=400&fit=crop
Deep Learning Guide,1200,https://images.unsplash.com/photo-1620712943543-bcc4688e7485?w=400&h=400&fit=crop
Ikea Office Chair,5500,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop
Wooden Dining Table,12500,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop
Office Desk,8800,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop
Bookshelf,6400,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop
Sofa Set,28000,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop
Samsung Galaxy Buds 2,9000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Apple AirPods Pro 2,24000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
OnePlus Buds Pro 2,11000,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Boat Airdopes 441,2500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
Noise Shots X5,4500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=400&h=400&fit=crop
HP Pavilion 15,55000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Dell Inspiron 14,48000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Asus ROG Zephyrus,125000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Acer Swift 3,45000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
MSI Gaming GF65,78000,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop
Sony PlayStation 5,58000,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=400&h=400&fit=crop
Xbox Series X,52000,https://images.unsplash.com/photo-1606813907291-d86efa9b94db?w=400&h=400&fit=crop
